temp, 27.03, sample_timestamp, 14:22:19, received timestamp, 16/11:22:20, Message length, 31.667
temp, 27.03, sample_timestamp, 14:22:30, received timestamp, 16/11:22:31, Message length, 31.667
temp, 27.05, sample_timestamp, 14:22:41, received timestamp, 16/11:22:42, Message length, 31.667
temp, 27.06, sample_timestamp, 14:22:52, received timestamp, 16/11:22:53, Message length, 31.667
temp, 27.03, sample_timestamp, 14:23:03, received timestamp, 16/11:23:04, Message length, 31.667
temp, 27.03, sample_timestamp, 14:23:14, received timestamp, 16/11:23:14, Message length, 27.667
temp, 27.01, sample_timestamp, 14:23:25, received timestamp, 16/11:23:25, Message length, 31.667
temp, 27.0, sample_timestamp, 14:23:35, received timestamp, 16/11:23:35, Message length, 31.333
temp, 27.01, sample_timestamp, 14:23:45, received timestamp, 16/11:23:45, Message length, 31.667
temp, 27.07, sample_timestamp, 14:23:56, received timestamp, 16/11:23:56, Message length, 31.667
temp, 27.09, sample_timestamp, 14:24:06, received timestamp, 16/11:24:06, Message length, 31.667
temp, 27.08, sample_timestamp, 14:24:16, received timestamp, 16/11:24:17, Message length, 31.667
temp, 27.04, sample_timestamp, 14:24:27, received timestamp, 16/11:24:27, Message length, 31.667
temp, 27.0, sample_timestamp, 14:24:37, received timestamp, 16/11:24:38, Message length, 31.0
temp, 27.01, sample_timestamp, 14:24:48, received timestamp, 16/11:24:48, Message length, 27.667
temp, 26.97, sample_timestamp, 14:24:59, received timestamp, 16/11:24:59, Message length, 31.667
temp, 26.97, sample_timestamp, 14:25:09, received timestamp, 16/11:25:10, Message length, 27.667
temp, 26.95, sample_timestamp, 14:25:20, received timestamp, 16/11:25:21, Message length, 31.667
temp, 26.97, sample_timestamp, 14:25:31, received timestamp, 16/11:25:31, Message length, 31.333
temp, 26.97, sample_timestamp, 14:25:41, received timestamp, 16/11:25:42, Message length, 31.333
temp, 26.91, sample_timestamp, 14:25:52, received timestamp, 16/11:25:53, Message length, 31.667
temp, 26.85, sample_timestamp, 14:26:03, received timestamp, 16/11:26:04, Message length, 31.667
temp, 26.82, sample_timestamp, 14:26:14, received timestamp, 16/11:26:15, Message length, 31.667
temp, 26.84, sample_timestamp, 14:26:25, received timestamp, 16/11:26:26, Message length, 31.667
temp, 26.84, sample_timestamp, 14:26:36, received timestamp, 16/11:26:37, Message length, 31.667
temp, 26.88, sample_timestamp, 14:26:47, received timestamp, 16/11:26:48, Message length, 31.667
temp, 26.91, sample_timestamp, 14:26:58, received timestamp, 16/11:26:59, Message length, 31.667
temp, 26.96, sample_timestamp, 14:27:09, received timestamp, 16/11:27:10, Message length, 31.667
temp, 27.0, sample_timestamp, 14:27:20, received timestamp, 16/11:27:20, Message length, 31.333
temp, 26.99, sample_timestamp, 14:27:30, received timestamp, 16/11:27:31, Message length, 27.667
temp, 26.92, sample_timestamp, 14:27:41, received timestamp, 16/11:27:41, Message length, 31.667
temp, 26.89, sample_timestamp, 14:27:51, received timestamp, 16/11:27:51, Message length, 31.667
temp, 26.83, sample_timestamp, 14:28:12, received timestamp, 16/11:28:12, Message length, 31.667
temp, 26.82, sample_timestamp, 14:28:22, received timestamp, 16/11:28:23, Message length, 31.667
temp, 26.71, sample_timestamp, 14:28:33, received timestamp, 16/11:28:33, Message length, 31.667
temp, 26.56, sample_timestamp, 14:28:43, received timestamp, 16/11:28:44, Message length, 31.667
temp, 26.44, sample_timestamp, 14:28:54, received timestamp, 16/11:28:54, Message length, 31.667
temp, 26.37, sample_timestamp, 14:29:04, received timestamp, 16/11:29:05, Message length, 31.667
temp, 26.43, sample_timestamp, 14:29:15, received timestamp, 16/11:29:16, Message length, 31.667
temp, 26.5, sample_timestamp, 14:29:26, received timestamp, 16/11:29:26, Message length, 31.333
temp, 26.48, sample_timestamp, 14:29:36, received timestamp, 16/11:29:37, Message length, 31.667
temp, 26.47, sample_timestamp, 14:29:47, received timestamp, 16/11:29:48, Message length, 31.667
temp, 26.42, sample_timestamp, 14:29:58, received timestamp, 16/11:29:59, Message length, 31.667
temp, 26.34, sample_timestamp, 14:30:09, received timestamp, 16/11:30:10, Message length, 31.667
temp, 26.33, sample_timestamp, 14:30:20, received timestamp, 16/11:30:21, Message length, 31.0
temp, 26.4, sample_timestamp, 14:30:31, received timestamp, 16/11:30:32, Message length, 31.333
temp, 26.46, sample_timestamp, 14:30:42, received timestamp, 16/11:30:43, Message length, 31.667
temp, 26.39, sample_timestamp, 14:30:53, received timestamp, 16/11:30:54, Message length, 31.667
temp, 26.33, sample_timestamp, 14:31:04, received timestamp, 16/11:31:05, Message length, 31.667
temp, 26.27, sample_timestamp, 14:31:15, received timestamp, 16/11:31:16, Message length, 31.667
temp, 26.22, sample_timestamp, 14:31:26, received timestamp, 16/11:31:26, Message length, 31.667
temp, 26.23, sample_timestamp, 14:31:36, received timestamp, 16/11:31:36, Message length, 31.667
temp, 26.28, sample_timestamp, 14:31:46, received timestamp, 16/11:31:47, Message length, 31.667
temp, 26.28, sample_timestamp, 14:31:57, received timestamp, 16/11:31:57, Message length, 31.333
temp, 26.3, sample_timestamp, 14:32:07, received timestamp, 16/11:32:07, Message length, 31.333
temp, 26.37, sample_timestamp, 14:32:18, received timestamp, 16/11:32:18, Message length, 31.333
temp, 26.44, sample_timestamp, 14:32:28, received timestamp, 16/11:32:28, Message length, 31.667
temp, 26.48, sample_timestamp, 14:32:38, received timestamp, 16/11:32:39, Message length, 31.667
temp, 26.46, sample_timestamp, 14:32:49, received timestamp, 16/11:32:50, Message length, 31.667
temp, 26.37, sample_timestamp, 14:33:00, received timestamp, 16/11:33:00, Message length, 31.667
temp, 26.27, sample_timestamp, 14:33:10, received timestamp, 16/11:33:11, Message length, 31.667
temp, 26.24, sample_timestamp, 14:33:21, received timestamp, 16/11:33:21, Message length, 31.667
temp, 26.22, sample_timestamp, 14:33:32, received timestamp, 16/11:33:32, Message length, 31.667
temp, 26.24, sample_timestamp, 14:33:42, received timestamp, 16/11:33:43, Message length, 31.667
temp, 26.14, sample_timestamp, 14:33:53, received timestamp, 16/11:33:54, Message length, 31.333
temp, 26.07, sample_timestamp, 14:34:04, received timestamp, 16/11:34:05, Message length, 31.667
temp, 26.03, sample_timestamp, 14:34:15, received timestamp, 16/11:34:15, Message length, 31.667
temp, 25.98, sample_timestamp, 14:34:26, received timestamp, 16/11:34:26, Message length, 31.667
temp, 25.98, sample_timestamp, 14:34:36, received timestamp, 16/11:34:37, Message length, 31.667
temp, 26.06, sample_timestamp, 14:34:47, received timestamp, 16/11:34:48, Message length, 31.667
temp, 26.13, sample_timestamp, 14:34:58, received timestamp, 16/11:34:59, Message length, 31.333
temp, 26.18, sample_timestamp, 14:35:09, received timestamp, 16/11:35:10, Message length, 31.667
temp, 26.08, sample_timestamp, 14:35:21, received timestamp, 16/11:35:22, Message length, 31.333
temp, 25.99, sample_timestamp, 14:35:32, received timestamp, 16/11:35:32, Message length, 31.667
temp, 25.93, sample_timestamp, 14:35:42, received timestamp, 16/11:35:42, Message length, 31.667
temp, 25.91, sample_timestamp, 14:35:52, received timestamp, 16/11:35:52, Message length, 31.667
temp, 26.02, sample_timestamp, 14:36:03, received timestamp, 16/11:36:03, Message length, 31.667
temp, 26.07, sample_timestamp, 14:36:13, received timestamp, 16/11:36:13, Message length, 31.333
temp, 26.13, sample_timestamp, 14:36:23, received timestamp, 16/11:36:24, Message length, 31.667
temp, 26.09, sample_timestamp, 14:36:34, received timestamp, 16/11:36:34, Message length, 31.667
temp, 26.06, sample_timestamp, 14:36:44, received timestamp, 16/11:36:45, Message length, 31.667
temp, 26.05, sample_timestamp, 14:36:55, received timestamp, 16/11:36:55, Message length, 31.667
temp, 26.08, sample_timestamp, 14:37:05, received timestamp, 16/11:37:06, Message length, 31.333
temp, 26.08, sample_timestamp, 14:37:16, received timestamp, 16/11:37:17, Message length, 31.667
temp, 26.07, sample_timestamp, 14:37:27, received timestamp, 16/11:37:27, Message length, 31.667
temp, 26.06, sample_timestamp, 14:37:37, received timestamp, 16/11:37:38, Message length, 31.667
temp, 26.01, sample_timestamp, 14:37:48, received timestamp, 16/11:37:49, Message length, 31.333
temp, 25.99, sample_timestamp, 14:37:59, received timestamp, 16/11:38:00, Message length, 31.333
temp, 26.0, sample_timestamp, 14:38:10, received timestamp, 16/11:38:10, Message length, 31.333
temp, 26.06, sample_timestamp, 14:38:20, received timestamp, 16/11:38:21, Message length, 31.667
temp, 26.14, sample_timestamp, 14:38:31, received timestamp, 16/11:38:32, Message length, 31.667
temp, 26.11, sample_timestamp, 14:38:42, received timestamp, 16/11:38:43, Message length, 31.667
temp, 26.08, sample_timestamp, 14:38:53, received timestamp, 16/11:38:54, Message length, 31.667
temp, 26.11, sample_timestamp, 14:39:04, received timestamp, 16/11:39:05, Message length, 31.667
temp, 26.18, sample_timestamp, 14:39:15, received timestamp, 16/11:39:16, Message length, 31.333
temp, 26.3, sample_timestamp, 14:39:26, received timestamp, 16/11:39:27, Message length, 31.333
temp, 26.38, sample_timestamp, 14:39:37, received timestamp, 16/11:39:38, Message length, 31.667
temp, 26.45, sample_timestamp, 14:39:48, received timestamp, 16/11:39:48, Message length, 31.667
temp, 26.53, sample_timestamp, 14:39:58, received timestamp, 16/11:39:58, Message length, 31.667
temp, 26.59, sample_timestamp, 14:40:08, received timestamp, 16/11:40:09, Message length, 31.667
temp, 26.61, sample_timestamp, 14:40:19, received timestamp, 16/11:40:19, Message length, 31.667
temp, 26.64, sample_timestamp, 14:40:29, received timestamp, 16/11:40:29, Message length, 31.667
temp, 26.73, sample_timestamp, 14:40:50, received timestamp, 16/11:40:51, Message length, 31.667
temp, 26.83, sample_timestamp, 14:41:11, received timestamp, 16/11:41:12, Message length, 31.667
temp, 26.85, sample_timestamp, 14:41:22, received timestamp, 16/11:41:22, Message length, 31.333
temp, 26.89, sample_timestamp, 14:41:32, received timestamp, 16/11:41:33, Message length, 31.667
temp, 26.91, sample_timestamp, 14:41:43, received timestamp, 16/11:41:44, Message length, 31.667
temp, 26.92, sample_timestamp, 14:41:54, received timestamp, 16/11:41:54, Message length, 31.333
temp, 26.97, sample_timestamp, 14:42:05, received timestamp, 16/11:42:05, Message length, 31.667
temp, 27.0, sample_timestamp, 14:42:15, received timestamp, 16/11:42:16, Message length, 31.333
temp, 26.97, sample_timestamp, 14:42:26, received timestamp, 16/11:42:27, Message length, 31.667
temp, 27.01, sample_timestamp, 14:42:37, received timestamp, 16/11:42:38, Message length, 31.667
temp, 27.0, sample_timestamp, 14:42:48, received timestamp, 16/11:42:49, Message length, 31.333
temp, 26.98, sample_timestamp, 14:42:59, received timestamp, 16/11:43:00, Message length, 31.667
temp, 26.94, sample_timestamp, 14:43:10, received timestamp, 16/11:43:11, Message length, 31.667
temp, 26.9, sample_timestamp, 14:43:21, received timestamp, 16/11:43:22, Message length, 31.333
temp, 26.91, sample_timestamp, 14:43:32, received timestamp, 16/11:43:33, Message length, 31.667
temp, 26.91, sample_timestamp, 14:43:43, received timestamp, 16/11:43:43, Message length, 31.667
temp, 26.89, sample_timestamp, 14:43:53, received timestamp, 16/11:43:54, Message length, 27.667
temp, 26.84, sample_timestamp, 14:44:04, received timestamp, 16/11:44:04, Message length, 31.667
temp, 26.79, sample_timestamp, 14:44:14, received timestamp, 16/11:44:14, Message length, 31.667
temp, 26.79, sample_timestamp, 14:44:24, received timestamp, 16/11:44:25, Message length, 31.667
temp, 26.79, sample_timestamp, 14:44:35, received timestamp, 16/11:44:35, Message length, 31.667
temp, 26.77, sample_timestamp, 14:44:45, received timestamp, 16/11:44:46, Message length, 31.667
temp, 26.76, sample_timestamp, 14:44:56, received timestamp, 16/11:44:56, Message length, 31.333
temp, 26.74, sample_timestamp, 14:45:06, received timestamp, 16/11:45:07, Message length, 31.667
temp, 26.78, sample_timestamp, 14:45:17, received timestamp, 16/11:45:17, Message length, 31.667
temp, 26.83, sample_timestamp, 14:45:28, received timestamp, 16/11:45:28, Message length, 31.0
temp, 26.87, sample_timestamp, 14:45:38, received timestamp, 16/11:45:39, Message length, 31.667
temp, 26.86, sample_timestamp, 14:45:49, received timestamp, 16/11:45:49, Message length, 31.667
temp, 26.92, sample_timestamp, 14:46:00, received timestamp, 16/11:46:00, Message length, 31.667
temp, 26.95, sample_timestamp, 14:46:10, received timestamp, 16/11:46:11, Message length, 31.333
temp, 26.94, sample_timestamp, 14:46:21, received timestamp, 16/11:46:22, Message length, 31.667
temp, 26.95, sample_timestamp, 14:46:32, received timestamp, 16/11:46:33, Message length, 31.667
temp, 26.89, sample_timestamp, 14:46:54, received timestamp, 16/11:46:55, Message length, 31.333
temp, 26.83, sample_timestamp, 14:47:05, received timestamp, 16/11:47:06, Message length, 31.667
temp, 26.77, sample_timestamp, 14:47:16, received timestamp, 16/11:47:17, Message length, 31.667
temp, 26.76, sample_timestamp, 14:47:27, received timestamp, 16/11:47:28, Message length, 31.667
temp, 26.73, sample_timestamp, 14:47:38, received timestamp, 16/11:47:39, Message length, 31.667
temp, 26.76, sample_timestamp, 14:47:49, received timestamp, 16/11:47:49, Message length, 31.667
temp, 26.8, sample_timestamp, 14:47:59, received timestamp, 16/11:47:59, Message length, 31.333
temp, 26.81, sample_timestamp, 14:48:10, received timestamp, 16/11:48:10, Message length, 31.667
temp, 26.84, sample_timestamp, 14:48:20, received timestamp, 16/11:48:20, Message length, 31.667
temp, 26.85, sample_timestamp, 14:48:30, received timestamp, 16/11:48:31, Message length, 31.667
temp, 26.86, sample_timestamp, 14:48:41, received timestamp, 16/11:48:41, Message length, 31.667
temp, 26.87, sample_timestamp, 14:48:51, received timestamp, 16/11:48:51, Message length, 31.667
temp, 26.86, sample_timestamp, 14:49:02, received timestamp, 16/11:49:02, Message length, 31.333
temp, 26.84, sample_timestamp, 14:49:12, received timestamp, 16/11:49:13, Message length, 31.667
temp, 26.78, sample_timestamp, 14:49:23, received timestamp, 16/11:49:23, Message length, 31.667
temp, 26.73, sample_timestamp, 14:49:33, received timestamp, 16/11:49:34, Message length, 31.667
temp, 26.71, sample_timestamp, 14:49:44, received timestamp, 16/11:49:45, Message length, 31.667
temp, 26.71, sample_timestamp, 14:49:55, received timestamp, 16/11:49:55, Message length, 32.0
temp, 26.73, sample_timestamp, 14:50:05, received timestamp, 16/11:50:06, Message length, 32.0
temp, 26.69, sample_timestamp, 14:50:16, received timestamp, 16/11:50:17, Message length, 32.0
temp, 26.71, sample_timestamp, 14:50:27, received timestamp, 16/11:50:28, Message length, 31.667
temp, 26.76, sample_timestamp, 14:50:38, received timestamp, 16/11:50:39, Message length, 32.0
temp, 26.78, sample_timestamp, 14:50:49, received timestamp, 16/11:50:49, Message length, 31.667
temp, 26.74, sample_timestamp, 14:51:11, received timestamp, 16/11:51:11, Message length, 32.0
temp, 26.68, sample_timestamp, 14:51:22, received timestamp, 16/11:51:22, Message length, 32.0
temp, 26.72, sample_timestamp, 14:51:44, received timestamp, 16/11:51:45, Message length, 31.667
temp, 26.79, sample_timestamp, 14:51:55, received timestamp, 16/11:51:55, Message length, 32.0
temp, 26.83, sample_timestamp, 14:52:05, received timestamp, 16/11:52:05, Message length, 32.0
temp, 26.84, sample_timestamp, 14:52:15, received timestamp, 16/11:52:16, Message length, 32.0
temp, 26.84, sample_timestamp, 14:52:26, received timestamp, 16/11:52:26, Message length, 31.667
temp, 26.87, sample_timestamp, 14:52:36, received timestamp, 16/11:52:36, Message length, 32.0
temp, 26.85, sample_timestamp, 14:52:46, received timestamp, 16/11:52:47, Message length, 32.0
temp, 26.87, sample_timestamp, 14:52:57, received timestamp, 16/11:52:57, Message length, 32.0
temp, 26.9, sample_timestamp, 14:53:07, received timestamp, 16/11:53:08, Message length, 31.667
temp, 26.9, sample_timestamp, 14:53:18, received timestamp, 16/11:53:18, Message length, 31.667
temp, 26.99, sample_timestamp, 14:53:28, received timestamp, 16/11:53:29, Message length, 32.0
temp, 27.04, sample_timestamp, 14:53:39, received timestamp, 16/11:53:40, Message length, 32.0
temp, 27.08, sample_timestamp, 14:53:50, received timestamp, 16/11:53:50, Message length, 32.0
temp, 27.1, sample_timestamp, 14:54:00, received timestamp, 16/11:54:01, Message length, 31.667
temp, 27.09, sample_timestamp, 14:54:11, received timestamp, 16/11:54:12, Message length, 32.0
temp, 27.1, sample_timestamp, 14:54:22, received timestamp, 16/11:54:23, Message length, 31.667
temp, 27.07, sample_timestamp, 14:54:33, received timestamp, 16/11:54:33, Message length, 31.667
temp, 27.02, sample_timestamp, 14:54:43, received timestamp, 16/11:54:44, Message length, 32.0
temp, 26.97, sample_timestamp, 14:54:54, received timestamp, 16/11:54:55, Message length, 31.667
temp, 26.91, sample_timestamp, 14:55:05, received timestamp, 16/11:55:06, Message length, 31.667
temp, 26.79, sample_timestamp, 14:55:16, received timestamp, 16/11:55:17, Message length, 31.667
temp, 26.7, sample_timestamp, 14:55:27, received timestamp, 16/11:55:28, Message length, 31.0
temp, 26.59, sample_timestamp, 14:55:38, received timestamp, 16/11:55:39, Message length, 31.667
temp, 26.48, sample_timestamp, 14:55:49, received timestamp, 16/11:55:50, Message length, 31.667
temp, 26.31, sample_timestamp, 14:56:01, received timestamp, 16/11:56:01, Message length, 31.667
temp, 26.12, sample_timestamp, 14:56:11, received timestamp, 16/11:56:11, Message length, 31.667
