experiment_no.,execution_time
1,12.941882979456524
2,13.804407194769727
3,12.514812673298394
4,14.547461394258459
5,16.46398249261781
6,12.765751858348652
7,12.537956893401262
8,10.72476170616325
9,14.447318500582465
10,12.8159811132647
11,15.570870357347303
12,12.528905286903548
13,15.107541037704468
14,12.732916853438256
15,11.217580763212588
16,10.905267903028333
17,11.581401869614975
18,13.047517409318065
19,12.221145372795293
20,14.335163190398836
21,11.773787432177597
22,9.329984444992128
23,12.70706888914804
24,13.138710829584886
25,10.103404988789178
26,11.591518805591999
27,14.340881399682127
28,12.782245335148769
29,11.614287285030043
30,12.061292787050379
31,11.290122575819304
32,11.8319167799108
33,12.66069880219644
34,12.75381670672204
35,10.920743130260547
36,13.011691518869632
37,12.39513779905796
38,14.816465903540356
39,9.828539371303458
40,14.552467313038603
41,13.08221275309385
42,13.741519278293161
43,16.33701216987643
44,12.334769970970115
45,14.015139045262963
46,14.16789745146487
47,13.945302997935897
48,13.219462246627536
49,10.857339345105764
50,13.022029331193034
51,13.31290422944002
52,15.64938697405345
53,13.552573738193283
54,14.22097753241992
55,10.735688099406854
56,12.26526108305204
57,13.294316642638465
58,12.925157844638933
59,15.659374384448329
60,13.938607049828875
61,15.488654615019597
62,11.122621187400558
63,15.679619969317297
64,13.915599078722279
65,14.012697470677296
66,13.704703299895407
67,11.766382354619221
68,14.401412976321303
69,12.637006359527712
70,13.549447617139222
71,14.771683427620962
72,12.515992668675214
73,13.309852385818264
74,11.819054325657845
75,13.467858869234492
76,13.399054865206306
77,12.479027824624135
78,14.374819563575317
79,11.48756649896767
80,10.69548430376896
81,12.977308110050046
82,13.41396565358914
83,8.745549101303016
84,10.732384490821797
85,10.911537986727836
86,14.885836166503202
87,11.250033752364358
88,12.024278486702912
89,12.061836296870958
90,11.595337136723261
91,11.11981490638924
92,13.895106770581746
93,17.036538638479495
94,11.607268490147447
95,12.31670332053897
96,13.796453798574374
97,14.380783233268215
98,13.405718581561636
99,10.961926444445757
100,11.725100274772144
101,12.389726168341117
102,12.608469283534207
103,11.292477062956845
104,13.661881887063636
105,12.259973744355804
106,15.20173251129464
107,13.25223848207968
108,12.743936533548887
109,10.608056241291536
110,12.64875015584986
111,16.300189054275812
112,13.759645763983894
113,12.391965106824829
114,12.413146117860034
115,13.855925632135078
116,13.634552542368986
117,14.705094913334174
118,12.320466728355568
119,13.29609258450262
120,12.867382810715057
121,12.367210955954766
122,13.135456570981647
123,12.607262263508174
124,12.966126449643156
125,12.812962923187857
126,14.88543867639358
127,12.605370454778441
128,14.033289133437622
129,13.523745154149585
130,13.034261160256548
131,13.178131181734393
132,11.95442993762074
133,11.613750728651032
134,13.47401021965591
135,13.239460167093391
136,14.359876988553497
137,12.768850831566558
138,13.369425063936388
139,15.195800147503356
140,14.680107671991756
141,12.428754579417296
142,14.613955996113013
143,14.29801355376618
144,11.238061104605256
145,13.071329226260339
146,14.05906142843729
147,13.667244991740215
148,13.246278361596609
149,13.009808262025356
150,13.423483107011668
151,13.122944731563974
152,14.334874752446435
153,12.80632060875029
154,13.396230656146832
155,13.005908708339048
156,13.418175668525688
157,12.899699301428992
158,13.586069992880827
159,12.57065858694858
160,13.211999400253665
161,13.521825759793169
162,13.543502664645878
163,14.13633011485962
164,12.803635044681148
165,12.944634398325464
166,13.095273264633407
167,13.845061911178997
168,11.093560780904795
169,11.534790096419403
170,12.88959432455752
171,13.739207676091343
172,12.352670283521835
173,13.85518285544427
174,11.43394310864487
175,12.977669307985014
176,16.247916765606796
177,14.122398437595791
178,12.689355028949333
179,10.44252403096606
180,13.54996172554448
181,13.006861481137062
182,12.589969294081534
183,9.673144015024803
184,12.528542267789533
185,13.265658296039057
186,12.225571136711036
187,13.489532204256442
188,11.788220858354533
189,12.937127504731784
190,14.559157734286014
191,12.094812108892361
192,13.378999383579448
193,12.855423050048307
194,14.540389712668317
195,12.528591040045411
196,12.176994808548987
197,12.031152680717634
198,13.871701633152462
199,10.166661921748702
200,12.364314362386894
201,13.950265178820803
202,11.069514969895723
203,13.234692096986777
204,14.651814820816652
205,12.684388004836041
206,12.946677827627145
207,12.02742476422682
